index	qualified name	raw API description	final sentence pattern	final revised API description	is consensus	raw verb	final revised verb	revised functionality category	is functionality description	new verb by annotator1	new verb by annotator2	revised API description by annotator1	revised API description by annotator2
103	java.lang.Class.forName(java.lang.String)	Returns the Class object associated with the class or interface with the given string name.	VERB - NOUN - with - NOUN	creates the Class object associated with the class or interface with the given string name.	0	return	create	9	0	get	create	get the Class object associated with the class or interface with the given string name.	creates the Class object associated with the class or interface with the given string name.
104	java.lang.Math.ceil(double)	Returns the smallest (closest to negative infinity) double value that is greater than or equal to the argument and is equal to a mathematical integer.	VERB - NOUN	get the smallest (closest to negative infinity) double value that is greater than or equal to the argument and is equal to a mathematical integer.	0	return	get	9	0	get	get	get the smallest (closest to negative infinity) double value that is greater than or equal to the argument and is equal to a mathematical integer.	gets the smallest (closest to negative infinity) double value that is greater than or equal to the argument and is equal to a mathematical integer.
105	"""java.lang.String.split(java.lang.String,int)"""	Splits this string around matches of the given regular expression.	VERB - NOUN - around - NOUN	Splits this string around matches of the given regular expression.	0	split	split	76	0	split	split	Splits this string around matches of the given regular expression.	Splits this string around matches of the given regular expression.
106	java.lang.ThreadLocal.remove()	Removes the current thread's value for this thread-local variable.	VERB - NOUN - for - NOUN	Removes the current thread's value for this thread-local variable.	0	remove	remove	38	0	remove	remove	Removes the current thread's value for this thread-local variable.	Removes the current thread's value for this thread-local variable.
108	"""java.lang.String.split(java.lang.String,int)"""	Splits this string around matches of the given regular expression.	VERB - NOUN - around - NOUN	Splits this string around matches of the given regular expression.	0	split	split	76	0	split	split	Splits this string around matches of the given regular expression.	Splits this string around matches of the given regular expression.
109	java.lang.Thread.getState()	Returns the state of this thread.	VERB - NOUN	get the state of this thread.	0	return	get	9	0	get	get	get the state of this thread.	gets the state of this thread.
110	java.lang.Runtime.addShutdownHook(java.lang.Thread)	Registers a new virtual-machine shutdown hook.	VERB - NOUN	add a new virtual-machine shutdown hook to virtual-machine.	1	register	add	31	0	add	add	add a new virtual-machine shutdown hook.	adds a new virtual-machine shutdown hook.
111	"""java.lang.String.split(java.lang.String,int)"""	Splits this string around matches of the given regular expression.	VERB - NOUN - around - NOUN	Splits this string around matches of the given regular expression.	0	split	split	76	0	split	split	Splits this string around matches of the given regular expression.	Splits this string around matches of the given regular expression.
112	"""java.lang.Math.pow(double,double)"""	Returns the value of the first argument raised to the power of the second argument.	VERB - NOUN	compute the  the value of the first argument raised to the power of the second argument.	0	return	compute	9	0	compute	get	compute the  the value of the first argument raised to the power of the second argument.	gets the value of the first argument raised to the power of the second argument.
113	java.lang.System.nanoTime()	"""Returns the current value of the running Java Virtual Machine's high-resolution time source, in nanoseconds."""	VERB - NOUN - in - NOUN	"""get the current value of the running Java Virtual Machine's high-resolution time source, in nanoseconds."""	0	return	get	9	0	get	get	"""get the current value of the running Java Virtual Machine's high-resolution time source, in nanoseconds."""	"""gets the current value of the running Java Virtual Machine's high-resolution time source, in nanoseconds."""
114	javax.swing.JFrame.setDefaultCloseOperation(int)	"""Sets the operation that will happen by default when the user initiates a """"close"""" on this frame."""	VERB - NOUN	"""Sets the operation that will happen by default when the user initiates a """"close"""" on this frame."""	0	set	set	5	0	set	set	"""Sets the operation that will happen by default when the user initiates a """"close"""" on this frame."""	"""Sets the operation that will happen by default when the user initiates a """"close"""" on this frame."""
115	java.sql.Connection.setCatalog(java.lang.String)	Sets the given catalog name in order to select a subspace of this Connection object's database in which to work.	VERB - NOUN	Sets the given catalog name in order to select a subspace of this Connection object's database in which to work.	0	set	set	5	0	set	set	Sets the given catalog name in order to select a subspace of this Connection object's database in which to work.	Sets the given catalog name in order to select a subspace of this Connection object's database in which to work.
116	java.lang.Runtime.exec(java.lang.String)	Executes the specified string command in a separate process.	VERB - NOUN - in - NOUN	perform the specified string command in a separate process.	0	execute	perform	10	0	perform	perform	perform the specified string command in a separate process.	performs the specified string command in a separate process.
117	java.lang.System.exit(int)	Terminates the currently running Java Virtual Machine.	VERB - NOUN	stop the currently running Java Virtual Machine.	0	terminate	stop	11	0	stop	check	stop the currently running Java Virtual Machine.	checks the currently running Java Virtual Machine.
118	java.nio.file.Files.probeContentType(java.nio.file.Path)	Probes the content type of a file.	VERB - NOUN	read the content type of a file.	0	probe	get	43	0	get	get	get the content type of a file.	get the content type of a file.
120	java.util.Set.retainAll(java.util.Collection<?>)	Retains only the elements in this set that are contained in the specified collection (optional operation).	VERB - NOUN - in - NOUN	store only the elements in this set that are contained in the specified collection (optional operation).	0	retain	store	35	0	store	store	store only the elements in this set that are contained in the specified collection (optional operation).	stores only the elements in this set that are contained in the specified collection (optional operation).
121	java.lang.Thread.sleep(long)	"""Causes the currently executing thread to sleep (temporarily cease execution) for the specified number of milliseconds, subject to the precision and accuracy of system timers and schedulers."""	VERB - for - NOUN	"""Causes the currently executing thread to wait (temporarily cease execution) for the specified number of milliseconds, subject to the precision and accuracy of system timers and schedulers."""	0	sleep	wait	41	0	wait	wait	"""Causes the currently executing thread to wait (temporarily cease execution) for the specified number of milliseconds, subject to the precision and accuracy of system timers and schedulers."""	"""Causes the currently executing thread to wait (temporarily cease execution) for the specified number of milliseconds, subject to the precision and accuracy of system timers and schedulers."""
122	java.lang.reflect.Field.getType()	Returns a Class object that identifies the declared type for the field represented by this Field object.	VERB - NOUN - for - NOUN - by - NOUN	get  a Class object that identifies the declared type for the field represented by this Field object.	0	return	get	9	0	get	get	get  a Class object that identifies the declared type for the field represented by this Field object.	gets a Class object that identifies the declared type for the field represented by this Field object.
123	java.util.Random.ints(long)	Returns a stream producing the given streamSize number of pseudorandom int values.	VERB - NOUN	create a stream producing the given streamSize number of pseudorandom int values.	0	return	create	31	0	get	create	get a stream producing the given streamSize number of pseudorandom int values.	Creates a stream producing the given streamSize number of pseudorandom int values.
125	java.util.stream.Stream.anyMatch(java.util.function.Predicate<? super java.util.stream.Stream>)	Returns whether any elements of this stream match the provided predicate.	VERB	check whether any elements of this stream match the provided predicate.	0	return	check	3	0	check	check	check whether any elements of this stream match the provided predicate.	checks whether any elements of this stream match the provided predicate.
126	java.util.ArrayList.clone()	Returns a shallow copy of this ArrayList instance.	VERB - NOUN	create a shallow copy of this ArrayList instance.	0	return	create	6	0	create	create	create a shallow copy of this ArrayList instance.	Creates a shallow copy of this ArrayList instance.
127	"""java.util.Calendar.add(int,int)"""	"""Adds or subtracts the specified amount of time to the given calendar field, based on the calendar's rules."""	VERB - NOUN - to - NOUN	"""Adds or subtracts the specified amount of time to the given calendar field, based on the calendar's rules."""	0	add;subtract	compute	31	0	compute	add	"""compute by adding or subtracting the specified amount of time to the given calendar field, based on the calendar's rules."""	"""Adds or subtracts the specified amount of time to the given calendar field, based on the calendar's rules."""
128	java.lang.Class.newInstance()	Creates a new instance of the class represented by this Class object.	VERB - NOUN - by - NOUN	Creates a new instance of the class represented by this Class object.	0	create	create	6	0	create	create	Creates a new instance of the class represented by this Class object.	Creates a new instance of the class represented by this Class object.
129	java.lang.Math.round(float)	"""Returns the closest int to the argument, with ties rounding to positive infinity."""	VERB - NOUN - to - NOUN - with - NOUN - to - NOUN	"""compute the closest int to the argument, with ties rounding to positive infinity."""	0	return	compute	24	0	get	compute	"""get the closest int to the argument, with ties rounding to positive infinity."""	"""computes the closest int to the argument, with ties rounding to positive infinity."""
132	java.lang.Runtime.exec(java.lang.String)	Executes the specified string command in a separate process.	VERB - NOUN - in - NOUN	perform the specified string command in a separate process.	0	execute	perform	10	0	perform	perform	perform the specified string command in a separate process.	performs the specified string command in a separate process.
133	"""java.util.Objects.equals(java.lang.Object,java.lang.Object)"""	Returns true if the arguments are equal to each other and false otherwise.	VERB	check true if the arguments are equal to each other and false otherwise.	0	return	check	3	0	check	check	check true if the arguments are equal to each other and false otherwise.	checks if the arguments are equal to each other and false otherwise.
134	java.util.zip.ZipInputStream.getNextEntry()	Reads the next ZIP file entry and positions the stream at the beginning of the entry data.	VERB - NOUN - at - NOUN	Reads the next ZIP file entry and positions the stream at the beginning of the entry data.	0	read	read	43	0	read	read	Reads the next ZIP file entry and positions the stream at the beginning of the entry data.	Reads the next ZIP file entry and positions the stream at the beginning of the entry data.
135	"""java.util.Collections.binarySearch(java.util.List<? extends java.lang.Comparable<? super T>>,T)"""	Searches the specified list for the specified object using the binary search algorithm.	VERB - NOUN	find the specified list for the specified object using the binary search algorithm.	0	search	find	16	0	find	find	find the specified list for the specified object using the binary search algorithm.	Finds the specified list for the specified object using the binary search algorithm.
136	java.util.Date.getTime()	"""Returns the number of milliseconds since January 1, 1970, 00:00:00 GMT represented by this Date object."""	VERB - NOUN	"""get the number of milliseconds since January 1, 1970, 00:00:00 GMT represented by this Date object."""	0	return	get	9	0	get	get	"""get the number of milliseconds since January 1, 1970, 00:00:00 GMT represented by this Date object."""	"""gets the number of milliseconds since January 1, 1970, 00:00:00 GMT represented by this Date object."""
137	java.util.List.isEmpty()	Returns true if this list contains no elements.	VERB	check true if this list contains no elements.	0	return	check	3	0	check	check	check true if this list contains no elements.	checks if this list contains no elements.
139	java.lang.Double.valueOf(java.lang.String)	"""Returns a Double object holding the double value represented by the argument string s. If s is null, then a NullPointerException is thrown."""	VERB - NOUN	"""convert the double value represented by the argument string s into a Double object. If s is null, then a NullPointerException is thrown."""	0	return	convert	9	0	create	convert	"""create a Double object holding the double value represented by the argument string s. If s is null, then a NullPointerException is thrown."""	"""converts the argument string s to a Double object holding the double value represented by. If s is null, then a NullPointerException is thrown."""
140	"""java.lang.String.format(java.lang.String,java.lang.Object...)"""	Returns a formatted string using the specified format string and arguments.	VERB - NOUN	format a string using the specified format string and arguments.	1	return	format	20	0	convert	format	converts a string into a formatted string using the specified format string and arguments.	formats a formatted string using the specified format string and arguments.
141	"""java.lang.String.split(java.lang.String,int)"""	Splits this string around matches of the given regular expression.	VERB - NOUN - around - NOUN	Splits this string around matches of the given regular expression.	0	split	split	76	0	split	split	Splits this string around matches of the given regular expression.	Splits this string around matches of the given regular expression.
142	java.lang.Class.isAssignableFrom(java.lang.Class<?>)	"""Determines if the class or interface represented by this Class object is either the same as, or is a superclass or superinterface of, the class or interface represented by the specified Class parameter."""	VERB	"""check if the class or interface represented by this Class object is either the same as, or is a superclass or superinterface of, the class or interface represented by the specified Class parameter."""	0	determine	check	3	0	check	check	"""check if the class or interface represented by this Class object is either the same as, or is a superclass or superinterface of, the class or interface represented by the specified Class parameter."""	"""Determines if the class or interface represented by this Class object is either the same as, or is a superclass or superinterface of, the class or interface represented by the specified Class parameter."""
143	java.lang.String.substring(int)	Returns a string that is a substring of this string.	VERB - NOUN	get a string that is a substring of this string.	0	return	get	9	0	cut	create	cut  this string to a substring.	Creates a string that is a substring of this string.
144	javax.swing.JFileChooser.setCurrentDirectory(java.io.File)	Sets the current directory.	VERB - NOUN	Sets the current directory.	0	set	set	5	0	set	set	Sets the current directory.	Sets the current directory.
145	"""java.lang.String.replace(char,char)"""	Returns a string resulting from replacing all occurrences of oldChar in this string with newChar.	VERB - NOUN - from - NOUN - in - NOUN	create a string resulting from replacing all occurrences of oldChar in this string with newChar.	0	return	create	6	0	create	create	create a string resulting from replacing all occurrences of oldChar in this string with newChar.	create a string resulting from replacing all occurrences of oldChar in this string with newChar.
146	java.io.InputStream.available()	Returns an estimate of the number of bytes that can be read (or skipped over) from this input stream without blocking by the next invocation of a method for this input stream.	VERB - NOUN	get an estimate of the number of bytes that can be read (or skipped over) from this input stream without blocking by the next invocation of a method for this input stream.	0	return	get	9	0	get	get	get an estimate of the number of bytes that can be read (or skipped over) from this input stream without blocking by the next invocation of a method for this input stream.	
147	java.lang.String.substring(int)	Returns a string that is a substring of this string.	VERB - NOUN	get a string that is a substring of this string.	0	return	get	9	0	cut	create	cut  this string to a substring.	Creates a string that is a substring of this string.
148	"""java.lang.System.setProperty(java.lang.String,java.lang.String)"""	Sets the system property indicated by the specified key.	VERB - NOUN	Sets the system property indicated by the specified key.	0	set	set	5	0	set	set	Sets the system property indicated by the specified key.	Sets the system property indicated by the specified key.
150	"""java.lang.Math.multiplyExact(int,int)"""	"""Returns the product of the arguments, throwing an exception if the result overflows an int."""	VERB - NOUN	"""get the product of the arguments, throwing an exception if the result overflows an int."""	0	return	get	9	0	get	get	"""get the product of the arguments, throwing an exception if the result overflows an int."""	"""gets the product of the arguments, throwing an exception if the result overflows an int."""
151	javax.imageio.ImageIO.read(java.io.File)	Returns a BufferedImage as the result of decoding a supplied File with an ImageReader chosen automatically from among those currently registered.	VERB - NOUN - as - NOUN - with - NOUN - from - NOUN	read a BufferedImage as the result of decoding a supplied File with an ImageReader chosen automatically from among those currently registered.	0	read	get	9	0	create	get	create a BufferedImage as the result of decoding a supplied File with an ImageReader chosen automatically from among those currently registered.	gets a BufferedImage as the result of decoding a supplied File with an ImageReader chosen automatically from among those currently registered.
152	java.util.Calendar.getTime()	"""Returns a Date object representing this Calendar's time value (millisecond offset from the Epoch"""")."""	VERB - NOUN	"""get a Date object representing this Calendar's time value (millisecond offset from the Epoch"""")."""	0	return	get	9	0	get	get	"""get a Date object representing this Calendar's time value (millisecond offset from the Epoch"""")."""	"""gets a Date object representing this Calendar's time value (millisecond offset from the Epoch"""")."""
153	"""java.lang.Math.pow(double,double)"""	Returns the value of the first argument raised to the power of the second argument.	VERB - NOUN	compute the  the value of the first argument raised to the power of the second argument.	0	return	compute	9	0	compute	get	compute the  the value of the first argument raised to the power of the second argument.	gets the value of the first argument raised to the power of the second argument.
154	java.nio.charset.Charset.defaultCharset()	Returns the default charset of this Java virtual machine.	VERB - NOUN	get the default charset of this Java virtual machine.	0	return	get	9	0	get	get	get the default charset of this Java virtual machine.	Gets the default charset of this Java virtual machine.
155	java.lang.Runtime.exec(java.lang.String)	Executes the specified string command in a separate process.	VERB - NOUN - in - NOUN	perform the specified string command in a separate process.	0	execute	perform	10	0	perform	perform	perform the specified string command in a separate process.	performs the specified string command in a separate process.
156	"""java.util.Properties.store(java.io.Writer,java.lang.String)"""	Writes this property list (key and element pairs) in this Properties table to the output character stream in a format suitable for using the load(Reader) method.	VERB - NOUN - in - NOUN - to - NOUN - in - NOUN - for - NOUN	Writes this property list (key and element pairs) in this Properties table to the output character stream in a format suitable for using the load(Reader) method.	0	write	write	30	0	write	write	Writes this property list (key and element pairs) in this Properties table to the output character stream in a format suitable for using the load(Reader) method.	Writes this property list (key and element pairs) in this Properties table to the output character stream in a format suitable for using the load(Reader) method.
157	java.time.LocalDate.atStartOfDay()	Combines this date with the time of midnight to create a LocalDateTime at the start of this date.	VERB - NOUN - with - NOUN	connect this date with the time of midnight to create a LocalDateTime at the start of this date.	0	combine	connect	25	0	connect	connect	connect this date with the time of midnight to create a LocalDateTime at the start of this date.	Connects this date with the time of midnight to create a LocalDateTime at the start of this date.
158	"""java.lang.Integer.parseInt(java.lang.String,int)"""	Parses the string argument as a signed integer in the radix specified by the second argument.	VERB - NOUN - as - NOUN - in - NOUN - by - NOUN	convert the string argument into a signed integer in the radix specified by the second argument.	1	parse	convert	40	0	convert	convert	convert the string argument into a signed integer in the radix specified by the second argument.	converts the string argument to a signed integer in the radix specified by the second argument.
159	"""java.sql.PreparedStatement.setNull(int,int)"""	Sets the designated parameter to SQL NULL.	VERB - NOUN - to -NOUN	Sets the designated parameter to SQL NULL.	0	set	set	5	0	set	initialize	Sets the designated parameter to SQL NULL.	initializes the designated parameter to SQL NULL.
160	java.lang.Thread.join(long)	Waits at most millis milliseconds for this thread to die.	VEBR - at - NOUN- for - NOUN	Waits at most millis milliseconds for this thread to die.	0	wait	wait	41	0	wait	wait	Waits at most millis milliseconds for this thread to die.	Waits at most millis milliseconds for this thread to die.
161	java.util.Date.toString()	Converts this Date object to a String of the form: dow mon dd hh:mm:ss zzz yyyy .	VERB - NOUN - to - NOUN	Converts this Date object to a String of the form: dow mon dd hh:mm:ss zzz yyyy .	0	convert	convert	40	0	convert	convert	Converts this Date object to a String of the form: dow mon dd hh:mm:ss zzz yyyy .	Converts this Date object to a String of the form: dow mon dd hh:mm:ss zzz yyyy .
162	java.lang.Class.isEnum()	Returns true if and only if this class was declared as an enum in the source code.	VERB	check true if and only if this class was declared as an enum in the source code.	0	return	check	3	0	check	check	check true if and only if this class was declared as an enum in the source code.	Checks if and only if this class was declared as an enum in the source code.
163	java.util.Locale.getDefault()	Gets the current value of the default locale for this instance of the Java Virtual Machine.	VERB - NOUN - for - NOUN	Gets the current value of the default locale for this instance of the Java Virtual Machine.	0	get	get	9	0	get	get	Gets the current value of the default locale for this instance of the Java Virtual Machine.	Gets the current value of the default locale for this instance of the Java Virtual Machine.
164	"""java.lang.Integer.valueOf(java.lang.String,int)"""	Returns an Integer object holding the value extracted from the specified String when parsed with the radix given by the second argument.	VERB - NOUN	Create an Integer object holding the value extracted from the specified String when parsed with the radix given by the second argument.	0	return	create	9	0	convert	create	Returns an Integer object holding the value extracted from the specified String when parsed with the radix given by the second argument.	Create an Integer object holding the value extracted from the specified String when parsed with the radix given by the second argument.
165	java.lang.Class.newInstance()	Creates a new instance of the class represented by this Class object.	VERB - NOUN - by - NOUN	Creates a new instance of the class represented by this Class object.	0	create	create	6	0	create	create	Creates a new instance of the class represented by this Class object.	Creates a new instance of the class represented by this Class object.
166	java.util.Collections.sort(java.util.List<T>)	"""Sorts the specified list into ascending order, according to the natural ordering of its elements."""	VERB - NOUN - into- NOUN	"""Sorts the specified list into ascending order, according to the natural ordering of its elements."""	0	sort	sort	53	0	sort	sort	"""Sorts the specified list into ascending order, according to the natural ordering of its elements."""	"""Sorts the specified list into ascending order, according to the natural ordering of its elements."""
167	"""java.lang.reflect.Array.newInstance(java.lang.Class<?>,int)"""	Creates a new array with the specified component type and length.	VERB - NOUN - with - NOUN	Creates a new array with the specified component type and length.	0	create	create	6	0	create	create	Creates a new array with the specified component type and length.	Creates a new array with the specified component type and length.
168	java.lang.Object.clone()	Creates and returns a copy of this object.	VERB - NOUN	Creates and returns a copy of this object.	0	create	create	6	0	create	create	Creates and returns a copy of this object.	Creates and returns a copy of this object.
169	"""java.math.BigDecimal.divide(java.math.BigDecimal,int,int)"""	"""Returns a BigDecimal whose value is (this / divisor), and whose scale is as specified."""	VERB - NOUN	"""computes a BigDecimal whose value is (this / divisor), and whose scale is as specified."""	0	return	compute	9	0	get	compute	"""get a BigDecimal whose value is (this / divisor), and whose scale is as specified."""	"""computes a BigDecimal whose value is (this / divisor), and whose scale is as specified."""
170	"""java.util.Properties.store(java.io.Writer,java.lang.String)"""	Writes this property list (key and element pairs) in this Properties table to the output character stream in a format suitable for using the load(Reader) method.	VERB - NOUN - in - NOUN - to - NOUN - in - NOUN - for - NOUN	Writes this property list (key and element pairs) in this Properties table to the output character stream in a format suitable for using the load(Reader) method.	0	write	write	30	0	write	write	Writes this property list (key and element pairs) in this Properties table to the output character stream in a format suitable for using the load(Reader) method.	Writes this property list (key and element pairs) in this Properties table to the output character stream in a format suitable for using the load(Reader) method.
171	java.lang.Math.ceil(double)	Returns the smallest (closest to negative infinity) double value that is greater than or equal to the argument and is equal to a mathematical integer.	VERB - NOUN	get the smallest (closest to negative infinity) double value that is greater than or equal to the argument and is equal to a mathematical integer.	0	return	get	9	0	get	get	get the smallest (closest to negative infinity) double value that is greater than or equal to the argument and is equal to a mathematical integer.	gets the smallest (closest to negative infinity) double value that is greater than or equal to the argument and is equal to a mathematical integer.
172	"""java.util.stream.Stream.flatMap(java.util.function.Function<? super,? extends java.util.stream.Stream<? extends R>>)"""	Returns a stream consisting of the results of replacing each element of this stream with the contents of a mapped stream produced by applying the provided mapping function to each element.	VERB - NOUN	get a stream consisting of the results of replacing each element of this stream with the contents of a mapped stream produced by applying the provided mapping function to each element.	0	return	get	9	0	get	create	get a stream consisting of the results of replacing each element of this stream with the contents of a mapped stream produced by applying the provided mapping function to each element.	crreates a stream consisting of the results of replacing each element of this stream with the contents of a mapped stream produced by applying the provided mapping function to each element.
173	java.lang.String.valueOf(java.lang.Object)	Returns the string representation of the Object argument.	VERB - NOUN	convert the Object argument into the string representation.	0	return	convert	9	0	convert	convert	convert the Object argument into the string representation.	converts  the Object argument to string representation.
174	"""java.io.File.createTempFile(java.lang.String,java.lang.String,java.io.File)"""	"""Creates a new empty file in the specified directory, using the given prefix and suffix strings to generate its name."""	VERB - NOUN - in - NOUN	"""Creates a new empty file in the specified directory, using the given prefix and suffix strings to generate its name."""	0	create	create	6	0	create	create	"""Creates a new empty file in the specified directory, using the given prefix and suffix strings to generate its name."""	"""Creates a new empty file in the specified directory, using the given prefix and suffix strings to generate its name."""
175	java.lang.reflect.Field.get(java.lang.Object)	"""Returns the value of the field represented by this Field, on the specified object."""	VERB - NOUN	"""get the value of the field represented by this Field, on the specified object."""	0	return	get	9	0	get	get	"""get the value of the field represented by this Field, on the specified object."""	"""gets the value of the field represented by this Field, on the specified object."""
176	java.util.ArrayList.get(int)	Returns the element at the specified position in this list.	VERB - NOUN - in - NOUN	get the element at the specified position in this list.	0	return	get	9	0	get	get	get the element at the specified position in this list.	gets the element at the specified position in this list.
178	"""java.lang.String.replaceAll(java.lang.String,java.lang.String)"""	Replaces each substring of this string that matches the given regular expression with the given replacement.	VERB - NOUN	Replaces each substring of this string that matches the given regular expression with the given replacement.	0	replace	replace	33	0	replace	replace	Replaces each substring of this string that matches the given regular expression with the given replacement.	Replaces each substring of this string that matches the given regular expression with the given replacement.
179	java.lang.Runtime.exec(java.lang.String)	Executes the specified string command in a separate process.	VERB - NOUN - in - NOUN	perform the specified string command in a separate process.	0	execute	perform	10	0	perform	perform	perform the specified string command in a separate process.	performs the specified string command in a separate process.
180	"""java.nio.file.Files.getOwner(java.nio.file.Path,java.nio.file.LinkOption...)"""	Returns the owner of a file.	VERB - NOUN	get the owner of a file.	0	return	get	9	0	get	get	get the owner of a file.	gets the owner of a file.
181	"""java.lang.Long.parseLong(java.lang.String,int)"""	Parses the string argument as a signed long in the radix specified by the second argument.	VERB - NOUN - as - NOUN - in - NOUN - by - NOUN	convert the string argument into a signed long in the radix specified by the second argument.	1	parse	convert	40	0	convert	convert	convert the string argument into a signed long in the radix specified by the second argument.	converts the string argument to a signed integer in the radix specified by the second argument.
182	javax.swing.SwingWorker.cancel(boolean)	Attempts to cancel execution of this task.	VERB - NOUN	Attempts to cancel execution of this task.	0	cancel	cancel	2	0	cancel	cancel	Attempts to cancel execution of this task.	Attempts to cancel execution of this task.
183	"""java.lang.System.arraycopy(java.lang.Object,int,java.lang.Object,int,int)"""	"""Copies an array from the specified source array, beginning at the specified position, to the specified position of the destination array."""	VERB - NOUN - from - NOUN - to - NOUN	"""Copies an array from the specified source array, beginning at the specified position, to the specified position of the destination array."""	0	copy	copy	17	0	copy	copy	"""Copies an array from the specified source array, beginning at the specified position, to the specified position of the destination array."""	"""Copies an array from the specified source array, beginning at the specified position, to the specified position of the destination array."""
184	"""java.lang.String.split(java.lang.String,int)"""	Splits this string around matches of the given regular expression.	VERB - NOUN - around - NOUN	Splits this string around matches of the given regular expression.	0	split	split	76	0	split	split	Splits this string around matches of the given regular expression.	Splits this string around matches of the given regular expression.
185	java.io.File.createNewFile()	"""Atomically creates a new, empty file named by this abstract pathname if and only if a file with this name does not yet exist."""	VERB - NOUN	"""Atomically creates a new, empty file named by this abstract pathname if and only if a file with this name does not yet exist."""	0	create	create	6	0	create	create	"""Atomically creates a new, empty file named by this abstract pathname if and only if a file with this name does not yet exist."""	"""Atomically creates a new, empty file named by this abstract pathname if and only if a file with this name does not yet exist."""
186	java.util.stream.Stream.findAny()	"""Returns an Optional describing some element of the stream, or an empty Optional if the stream is empty."""	VERB - NOUN	"""get an Optional describing some element of the stream, or an empty Optional if the stream is empty."""	0	return	get	9	0	get	get	"""get an Optional describing some element of the stream, or an empty Optional if the stream is empty."""	"""Gets an Optional describing some element of the stream, or an empty Optional if the stream is empty."""
187	javax.swing.JDesktopPane.getAllFrames()	Returns all JInternalFrames currently displayed in the desktop.	VERB - NOUN - in - NOUN	get all JInternalFrames currently displayed in the desktop.	0	return	get	9	0	get	get	get all JInternalFrames currently displayed in the desktop.	Gets all JInternalFrames currently displayed in the desktop.
189	"""java.lang.String.format(java.lang.String,java.lang.Object...)"""	Returns a formatted string using the specified format string and arguments.	VERB - NOUN	format a string using the specified format string and arguments.	1	return	format	20	0	convert	format	converts a string into a formatted string using the specified format string and arguments.	formats a formatted string using the specified format string and arguments.
190	java.io.File.isFile()	Tests whether the file denoted by this abstract pathname is a normal file.	VERB	check whether the file denoted by this abstract pathname is a normal file.	0	test	check	3	0	check	check	check whether the file denoted by this abstract pathname is a normal file.	checks the file denoted by this abstract pathname is a normal file.
191	"""java.awt.image.BufferedImage.getSubimage(int,int,int,int)"""	Returns a subimage defined by a specified rectangular region.	VERB - NOUN	get a subimage defined by a specified rectangular region.	0	return	get	9	0	get	create	get a subimage defined by a specified rectangular region.	creates a subimage defined by a specified rectangular region.
192	java.lang.Runtime.addShutdownHook(java.lang.Thread)	Registers a new virtual-machine shutdown hook.	VERB - NOUN	add a new virtual-machine shutdown hook to virtual-machine.	1	register	add	31	0	add	add	add a new virtual-machine shutdown hook.	adds a new virtual-machine shutdown hook.
193	"""java.nio.file.Files.write(java.nio.file.Path,byte[],java.nio.file.OpenOption...)"""	Writes bytes to a file.	VERB - NOUN - to - NOUN	Writes bytes to a file.	0	write	write	30	0	write	write	Writes bytes to a file.	Writes bytes to a file.
194	java.lang.Runtime.exec(java.lang.String)	Executes the specified string command in a separate process.	VERB - NOUN - in - NOUN	perform the specified string command in a separate process.	0	execute	perform	10	0	perform	perform	perform the specified string command in a separate process.	performs the specified string command in a separate process.
195	java.util.logging.Logger.getLogger(java.lang.String)	Find or create a logger for a named subsystem.	VERB - NOUN - for - NOUN	Find or create a logger for a named subsystem.	0	find;create	find	16	0	find;create	find;create	Find or create a logger for a named subsystem.	Find or create a logger for a named subsystem.
196	"""java.lang.Enum.valueOf(java.lang.Class<T>,java.lang.String)"""	Returns the enum constant of the specified enum type with the specified name.	VERB - NOUN - with - NOUN	get the enum constant of the specified enum type with the specified name.	0	return	get	9	0	get	get	get the enum constant of the specified enum type with the specified name.	gets the enum constant of the specified enum type with the specified name.
197	java.lang.Runtime.exec(java.lang.String)	Executes the specified string command in a separate process.	VERB - NOUN - in - NOUN	perform the specified string command in a separate process.	0	execute	perform	10	0	perform	perform	perform the specified string command in a separate process.	performs the specified string command in a separate process.
198	"""java.lang.String.split(java.lang.String,int)"""	Splits this string around matches of the given regular expression.	VERB - NOUN - around - NOUN	Splits this string around matches of the given regular expression.	0	split	split	76	0	split	split	Splits this string around matches of the given regular expression.	Splits this string around matches of the given regular expression.
199	java.lang.System.nanoTime()	"""Returns the current value of the running Java Virtual Machine's high-resolution time source, in nanoseconds."""	VERB - NOUN - in - NOUN	"""get the current value of the running Java Virtual Machine's high-resolution time source, in nanoseconds."""	0	return	get	9	0	get	get	"""get the current value of the running Java Virtual Machine's high-resolution time source, in nanoseconds."""	"""gets the current value of the running Java Virtual Machine's high-resolution time source, in nanoseconds."""
200	java.net.Socket.close()	Closes this socket.	VERB - NOUN	Closes this socket.	0	close	close	22	0	close	close	Closes this socket.	Closes this socket.
201	java.lang.Runtime.exec(java.lang.String)	Executes the specified string command in a separate process.	VERB - NOUN - in - NOUN	perform the specified string command in a separate process.	0	execute	perform	10	0	perform	perform	perform the specified string command in a separate process.	performs the specified string command in a separate process.
202	java.io.File.list()	Returns an array of strings naming the files and directories in the directory denoted by this abstract pathname.	VERB - NOUN - in - NOUN	get an array of strings naming the files and directories in the directory denoted by this abstract pathname.	0	return	get	9	0	get	get	get an array of strings naming the files and directories in the directory denoted by this abstract pathname.	Gets an array of strings naming the files and directories in the directory denoted by this abstract pathname.
