index	qualified name	API description	sentence pattern	revised API description	is_consensus	"raw verb (""/"" if don't have verbs)"	"revised verb (""/"" if don't have verbs)"	functionality category of new verb (index)	"is functionality description? (1 for false, 0 for true)"	"new verb (""/"" if don't have verbs) by annotator1"	"new verb (""/"" if don't have verbs) by annotator2"	revised API description by annotator 1	revised API description by annotator 2
65	"java.util.Arrays.fill(double[],int,int,double)"	Assigns the specified double value to each element of the specified range of the specified array of doubles.	VERB - NOUN - to - NOUN	set the specified double value to each element of the specified range of the specified array of doubles.	0	assign	set	5	0	set	set	Assigns the specified double value to each element of the specified range of the specified array of doubles.	sets the specified double value to each element of the specified range of the specified array of doubles.
65	"java.util.Arrays.fill(float[],float)"	Assigns the specified float value to each element of the specified array of floats.	VERB - NOUN - to - NOUN	set the specified float value to each element of the specified array of floats.	0	assign	set	5	0	set	set	set the specified float value to each element of the specified array of floats.	sets the specified float value to each element of the specified array of floats.
65	"java.util.Arrays.fill(float[],int,int,float)"	Assigns the specified float value to each element of the specified range of the specified array of floats.	VERB - NOUN - to - NOUN	set the specified float value to each element of the specified range of the specified array of floats.	0	assign	set	5	0	set	set	set the specified float value to each element of the specified range of the specified array of floats.	sets the specified float value to each element of the specified range of the specified array of floats.
65	"java.util.Arrays.fill(int[],int)"	Assigns the specified int value to each element of the specified array of ints.	VERB - NOUN - to - NOUN	set the specified int value to each element of the specified array of ints.	0	assign	set	5	0	set	set	set the specified int value to each element of the specified array of ints.	sets the specified int value to each element of the specified array of ints.
65	"java.util.Arrays.fill(int[],int,int,int)"	Assigns the specified int value to each element of the specified range of the specified array of ints.	VERB - NOUN - to - NOUN	set the specified int value to each element of the specified range of the specified array of ints.	0	assign	set	5	0	set	set	set the specified int value to each element of the specified range of the specified array of ints.	sets the specified int value to each element of the specified range of the specified array of ints.
65	"java.util.Arrays.fill(long[],long)"	Assigns the specified long value to each element of the specified array of longs.	VERB - NOUN - to - NOUN	set the specified long value to each element of the specified array of longs.	0	assign	set	5	0	set	set	set the specified long value to each element of the specified array of longs.	sets the specified long value to each element of the specified array of longs.
65	"java.util.Arrays.fill(long[],int,int,long)"	Assigns the specified long value to each element of the specified range of the specified array of longs.	VERB - NOUN - to - NOUN	set the specified long value to each element of the specified range of the specified array of longs.	0	assign	set	5	0	set	set	set the specified long value to each element of the specified range of the specified array of longs.	sets the specified long value to each element of the specified range of the specified array of longs.
65	"java.util.Arrays.fill(java.lang.Object,java.lang.Object)"	Assigns the specified Object reference to each element of the specified array of Objects.	VERB - NOUN - to - NOUN	set the specified Object reference to each element of the specified array of Objects.	0	assign	set	5	0	set	set	set the specified Object reference to each element of the specified array of Objects.	sets the specified Object reference to each element of the specified array of Objects.
65	"java.util.Arrays.fill(java.lang.Object[],java.lang.Object)"	Assigns the specified Object reference to each element of the specified array of Objects.	VERB - NOUN - to - NOUN	set the specified Object reference to each element of the specified array of Objects.	0	assign	set	5	0	set	set	set the specified Object reference to each element of the specified array of Objects.	sets the specified Object reference to each element of the specified array of Objects.
65	"java.util.Arrays.fill(java.lang.Object,int,int,java.lang.Object)"	Assigns the specified Object reference to each element of the specified range of the specified array of Objects.	VERB - NOUN - to - NOUN	set the specified Object reference to each element of the specified range of the specified array of Objects.	0	assign	set	5	0	set	set	set the specified Object reference to each element of the specified range of the specified array of Objects.	sets the specified Object reference to each element of the specified range of the specified array of Objects.
65	"java.util.Arrays.fill(java.lang.Object[],int,int,java.lang.Object)"	Assigns the specified Object reference to each element of the specified range of the specified array of Objects.	VERB - NOUN - to - NOUN	set the specified Object reference to each element of the specified range of the specified array of Objects.	0	assign	set	5	0	set	set	set the specified Object reference to each element of the specified range of the specified array of Objects.	sets the specified Object reference to each element of the specified range of the specified array of Objects.
65	"java.util.Arrays.fill(short[],short)"	Assigns the specified short value to each element of the specified array of shorts.	VERB - NOUN - to - NOUN	set the specified short value to each element of the specified array of shorts.	0	assign	set	5	0	set	set	set the specified short value to each element of the specified array of shorts.	sets the specified short value to each element of the specified array of shorts.
65	"java.util.Arrays.fill(short[],int,int,short)"	Assigns the specified short value to each element of the specified range of the specified array of shorts.	VERB - NOUN - to - NOUN	set the specified short value to each element of the specified range of the specified array of shorts.	0	assign	set	5	0	set	set	set the specified short value to each element of the specified range of the specified array of shorts.	sets the specified short value to each element of the specified range of the specified array of shorts.
66	java.lang.Throwable.printStackTrace(java.io.PrintStream)	Prints this throwable and its backtrace to the specified print stream.	VERB - NOUN - to - NOUN	write this throwable and its backtrace to the specified print stream.	0	print	write	30	0	write	write	write this throwable and its backtrace to the specified print stream.	wirtes this throwable and its backtrace to the specified print stream.
66	java.lang.Throwable.printStackTrace(java.io.PrintWriter)	Prints this throwable and its backtrace to the specified print writer.	VERB - NOUN - to - NOUN	write this throwable and its backtrace to the specified print writer.	0	print	write	30	0	write	write	write this throwable and its backtrace to the specified print writer.	wirtes this throwable and its backtrace to the specified print writer.
66	java.lang.Throwable.printStackTrace()	Prints this throwable and its backtrace to the standard error stream.	VERB - NOUN - to - NOUN	write this throwable and its backtrace to the standard error stream.	0	print	write	30	0	write	write	write this throwable and its backtrace to the standard error stream.	wirtes this throwable and its backtrace to the standard error stream.
67	java.util.Date.getTime()	"Returns the number of milliseconds since January 1, 1970, 00:00:00 GMT represented by this Date object."	VERB - NOUN	"get the number of milliseconds since January 1, 1970, 00:00:00 GMT represented by this Date object."	0	return	get	9	0	get	get	"get the number of milliseconds since January 1, 1970, 00:00:00 GMT represented by this Date object."	"gets the number of milliseconds since January 1, 1970, 00:00:00 GMT represented by this Date object."
68	java.util.stream.Stream.toArray(java.util.function.IntFunction<A[]>)	Returns an array containing all of the elements in this set; the runtime type of the returned array is that of the specified array.	VERB - NOUN - in - NOUN	convert  containing all of the elements in this set into an array; the runtime type of the returned array is that of the specified array.	1	return	convert	40	0	convert	convert	convert  containing all of the elements in this set into an array; the runtime type of the returned array is that of the specified array.	"converts the elements of this stream to an array containing, using the provided generator function to allocate the returned array, as well as any additional arrays that might be required for a partitioned execution or for resizing."
68	java.util.stream.Stream.toArray()	Returns an array containing the elements of this stream.	VERB - NOUN	convert  the elements of this stream into an array .	1	return	convert	40	0	convert	convert	convert  the elements of this stream into an array .	convert the elements of this stream to an array.
69	"java.lang.String.indexOf(int,int)"	"Returns the index within this string of the first occurrence of the specified character, starting the search at the specified index."	VERB - NOUN - within - NOUN	"get the index within this string of the first occurrence of the specified character, starting the search at the specified index."	0	return	get	9	0	get	get	"get the index within this string of the first occurrence of the specified character, starting the search at the specified index."	"Returns the index within this string of the first occurrence of the specified character, starting the search at the specified index."
69	java.lang.String.indexOf(int)	Returns the index within this string of the first occurrence of the specified character.	VERB - NOUN - within - NOUN	get the index within this string of the first occurrence of the specified character.	0	return	get	9	0	get	get	get the index within this string of the first occurrence of the specified character.	Returns the index within this string of the first occurrence of the specified character.
69	"java.lang.String.indexOf(java.lang.String,int)"	"Returns the index within this string of the first occurrence of the specified substring, starting at the specified index."	VERB - NOUN - within - NOUN	"get the index within this string of the first occurrence of the specified substring, starting at the specified index."	0	return	get	9	0	get	get	"get the index within this string of the first occurrence of the specified substring, starting at the specified index."	"Returns the index within this string of the first occurrence of the specified substring, starting at the specified index."
69	java.lang.String.indexOf(java.lang.String)	Returns the index within this string of the first occurrence of the specified substring.	VERB - NOUN - within - NOUN	get the index within this string of the first occurrence of the specified substring.	0	return	get	9	0	get	get	get the index within this string of the first occurrence of the specified substring.	Returns the index within this string of the first occurrence of the specified substring.
70	java.lang.System.gc()	Runs the garbage collector.	VERB - NOUN	perform the garbage collector.	0	run	perform	10	0	perform	perform	perform the garbage collector.	peforms the garbage collector.
71	java.lang.Class.newInstance()	Creates a new instance of the class represented by this Class object.	VERB - NOUN - by - NOUN	Creates a new instance of the class represented by this Class object.	0	create	create	6	0	create	create	Creates a new instance of the class represented by this Class object.	Creates a new instance of the class represented by this Class object.
72	java.sql.ResultSet.getMetaData()	"Retrieves the number, types and properties of this ResultSet object's columns."	VERB - NOUN	"get the number, types and properties of this ResultSet object's columns."	0	retrieve	get	9	0	get	get	"get the number, types and properties of this ResultSet object's columns."	"gets the number, types and properties of this ResultSet object's columns."
73	"java.lang.Class.forName(java.lang.String,boolean,java.lang.ClassLoader)"	"Returns the Class object associated with the class or interface with the given string name, using the given class loader."	VERB - NOUN - with - NOUN	"creates the Class object associated with the class or interface with the given string name, using the given class loader."	0	return	create	9	0	get	create	"get the Class object associated with the class or interface with the given string name, using the given class loader."	"creates the Class object associated with the class or interface with the given string name, using the given class loader."
73	java.lang.Class.forName(java.lang.String)	Returns the Class object associated with the class or interface with the given string name.	VERB - NOUN - with - NOUN	creates the Class object associated with the class or interface with the given string name.	0	return	create	9	0	get	create	get the Class object associated with the class or interface with the given string name.	creates the Class object associated with the class or interface with the given string name.
74	java.lang.String.matches(java.lang.String)	Tells whether or not this string matches the given regular expression.	VERB	check whether or not this string matches the given regular expression.	0	tell	check	3	0	check	check	check whether or not this string matches the given regular expression.	checks string matches the given regular expression.
75	java.io.File.length()	Returns the length of the file denoted by this abstract pathname.	VERB - NOUN 	get the length of the file denoted by this abstract pathname.	0	return	get	9	0	get	get	get the length of the file denoted by this abstract pathname.	Gets the length of the file denoted by this abstract pathname.
76	java.io.BufferedReader.readLine()	Reads a line of text.	VERB - NOUN	Reads a line from text.	1	read	read	43	0	read	read	Reads a line of text.	Reads a line of text.
77	java.io.File.toPath()	Returns a java.nio.file.Path object constructed from the this abstract path.	VERB - NOUN	get a java.nio.file.Path object constructed from the this abstract path.	0	return	get	9	0	get	get	get a java.nio.file.Path object constructed from the this abstract path.	gets a java.nio.file.Path object constructed from the this abstract path.
78	java.lang.Class.cast(java.lang.Object)	Casts an object to the class or interface represented by this Class object.	VERB - NOUN - to - NOUN	convert an object into the class or interface represented by this Class object.	0	cast	convert	41	0	convert	convert	convert an object into the class or interface represented by this Class object.	converts an object to the class or interface represented by this Class object.
79	"java.util.stream.Stream.flatMap(java.util.function.Function<? super,? extends java.util.stream.Stream<? extends R>>)"	Returns a stream consisting of the results of replacing each element of this stream with the contents of a mapped stream produced by applying the provided mapping function to each element.	VERB - NOUN	get a stream consisting of the results of replacing each element of this stream with the contents of a mapped stream produced by applying the provided mapping function to each element.	0	return	get	9	0	get	create	get a stream consisting of the results of replacing each element of this stream with the contents of a mapped stream produced by applying the provided mapping function to each element.	crreates a stream consisting of the results of replacing each element of this stream with the contents of a mapped stream produced by applying the provided mapping function to each element.
80	"java.lang.Class.forName(java.lang.String,boolean,java.lang.ClassLoader)"	"Returns the Class object associated with the class or interface with the given string name, using the given class loader."	VERB - NOUN - with - NOUN	"creates the Class object associated with the class or interface with the given string name, using the given class loader."	0	return	create	9	0	get	create	"get the Class object associated with the class or interface with the given string name, using the given class loader."	"creates the Class object associated with the class or interface with the given string name, using the given class loader."
80	java.lang.Class.forName(java.lang.String)	Returns the Class object associated with the class or interface with the given string name.	VERB - NOUN - with - NOUN	creates the Class object associated with the class or interface with the given string name.	0	return	create	9	0	get	create	get the Class object associated with the class or interface with the given string name.	creates the Class object associated with the class or interface with the given string name.
81	java.lang.String.compareTo(java.lang.String)	Compares two strings lexicographically.	VERB - NOUN	Compares two strings lexicographically.	0	compare	compare	29	0	compare	compare	Compares two strings lexicographically.	Compares two strings lexicographically.
82	"java.lang.String.format(java.lang.String,java.lang.Object)"	Returns a formatted string using the specified format string and arguments.	VERB - NOUN	format a string using the specified format string and arguments.	1	return	format	20	0	convert	format	converts a string into a formatted string using the specified format string and arguments.	formats a formatted string using the specified format string and arguments.
82	"java.lang.String.format(java.lang.String,java.lang.Object...)"	Returns a formatted string using the specified format string and arguments.	VERB - NOUN	format a string using the specified format string and arguments.	1	return	format	20	0	convert	format	converts a string into a formatted string using the specified format string and arguments.	formats a formatted string using the specified format string and arguments.
82	"java.lang.String.format(java.util.Locale,java.lang.String,java.lang.Object)"	"Returns a formatted string using the specified locale, format string, and arguments."	VERB - NOUN	"format a string using the specified locale, format string, and arguments."	1	return	format	20	0	convert	format	"convert  an object into a formatted string using the specified locale, format string, and arguments."	"formats a string to the specified locale, format string, and arguments."
82	"java.lang.String.format(java.util.Locale,java.lang.String,java.lang.Object...)"	"Returns a formatted string using the specified locale, format string, and arguments."	VERB - NOUN	"format a string using the specified locale, format string, and arguments."	1	return	format	20	0	convert	format	"convert  an object into a formatted string using the specified locale, format string, and arguments."	"formats a string to the specified locale, format string, and arguments."
83	java.lang.Math.toDegrees(double)	Converts an angle measured in radians to an approximately equivalent angle measured in degrees.	VERB - NOUN - in - NOUN - to - NOUN	Converts an angle measured in radians to an approximately equivalent angle measured in degrees.	0	convert	convert	40	0	convert	convert	Converts an angle measured in radians to an approximately equivalent angle measured in degrees.	Converts an angle measured in radians to an approximately equivalent angle measured in degrees.
84	java.net.URL.toURI()	Returns a URI equivalent to this URL.	VERB - NOUN - to - NOUN	get a synchronized (thread-safe) list backed by the specified list.	0	return	get	9	0	get	get	get a synchronized (thread-safe) list backed by the specified list.	gets a URI equivalent to this URL.
85	java.util.Collections.synchronizedList(java.util.List<T>)	Returns a synchronized (thread-safe) list backed by the specified list.	VERB - NOUN	get a synchronized (thread-safe) list backed by the specified list.	0	return	get	9	0	get	get	get a synchronized (thread-safe) list backed by the specified list.	gets a synchronized (thread-safe) list backed by the specified list.
86	java.awt.Window.getFocusOwner()	Returns the child Component of this Window that has focus if this Window is focused; returns null otherwise.	VERB - NOUN	get the child Component of this Window that has focus if this Window is focused; returns null otherwise.	0	return	get	9	0	get	get	get the child Component of this Window that has focus if this Window is focused; returns null otherwise.	gets the child Component of this Window that has focus if this Window is focused; returns null otherwise.
87	java.math.BigDecimal.doubleValue()	Converts this BigDecimal to a double.	VERB - NOUN - to - NOUN	Converts this BigDecimal to a double.	0	convert	convert	40	0	convert	convert	Converts this BigDecimal to a double.	Converts this BigDecimal to a double.
88	java.lang.String.split(java.lang.String)	Splits this string around matches of the given regular expression.	VERB - NOUN - around - NOUN	Splits this string around matches of the given regular expression.	0	split	split	76	0	split	split	Splits this string around matches of the given regular expression.	Splits this string around matches of the given regular expression.
88	"java.lang.String.split(java.lang.String,int)"	Splits this string around matches of the given regular expression.	VERB - NOUN - around - NOUN	Splits this string around matches of the given regular expression.	0	split	split	76	0	split	split	Splits this string around matches of the given regular expression.	Splits this string around matches of the given regular expression.
89	"java.lang.System.setProperty(java.lang.String,java.lang.String)"	Sets the system property indicated by the specified key.	VERB - NOUN	Sets the system property indicated by the specified key.	0	set	set	5	0	set	set	Sets the system property indicated by the specified key.	Sets the system property indicated by the specified key.
90	"java.lang.String.join(java.lang.CharSequence,java.lang.CharSequence)"	Returns a new String composed of copies of the CharSequence elements joined together with a copy of the specified delimiter.	VERB - NOUN	connect copies of the CharSequence elements  with a copy of the specified delimiter.	0	return	connect	6	0	create	convert	connect copies of the CharSequence elements  with a copy of the specified delimiter.	convert a copy of the specified delimiter to a new String composed of copies of the CharSequence elements joined together.
90	"java.lang.String.join(java.lang.CharSequence,java.lang.CharSequence...)"	Returns a new String composed of copies of the CharSequence elements joined together with a copy of the specified delimiter.	VERB - NOUN	connect copies of the CharSequence elements  with a copy of the specified delimiter.	0	return	connect	6	0	connect	convert	connect copies of the CharSequence elements  with a copy of the specified delimiter.	convert a copy of the specified delimiter to a new String composed of copies of the CharSequence elements joined together.
90	"java.lang.String.join(java.lang.CharSequence,java.lang.Iterable<? extends java.lang.CharSequence>)"	Returns a new String composed of copies of the CharSequence elements joined together with a copy of the specified delimiter.	VERB - NOUN	connect copies of the CharSequence elements  with a copy of the specified delimiter.	0	return	connect	6	0	connect	convert	connect copies of the CharSequence elements  with a copy of the specified delimiter.	convert a copy of the specified delimiter to a new String composed of copies of the CharSequence elements joined together.
91	java.lang.String.matches(java.lang.String)	Tells whether or not this string matches the given regular expression.	VERB	check whether or not this string matches the given regular expression.	0	tell	check	3	0	check	check	check whether or not this string matches the given regular expression.	checks string matches the given regular expression.
92	java.lang.System.currentTimeMillis()	Returns the current time in milliseconds.	VERB - NOUN - in - NOUN	get the current time in milliseconds.	0	return	get	9	0	get	get	get the current time in milliseconds.	gets the current time in milliseconds.
93	"java.math.BigDecimal.setScale(int,int)"	"Returns a BigDecimal whose scale is the specified value, and whose unscaled value is determined by multiplying or dividing this BigDecimal's unscaled value by the appropriate power of ten to maintain its overall value."	VERB - NOUN	"compute by multiplying or dividing this BigDecimal's unscaled value by the appropriate to get a BigDecimal whose scale is the specified value, and whose unscaled value is determined power of ten to maintain its overall value."	0	return	compute	5	0	compute	convert	"compute by multiplying or dividing this BigDecimal's unscaled value by the appropriate to get a BigDecimal whose scale is the specified value, and whose unscaled value is determined power of ten to maintain its overall value."	"converts a BigDecimal whose scale is the specified value, and whose unscaled value is determined by multiplying or dividing this BigDecimal's unscaled value by the appropriate power of ten to maintain its overall value."
93	"java.math.BigDecimal.setScale(int,java.math.RoundingMode)"	"Returns a BigDecimal whose scale is the specified value, and whose unscaled value is determined by multiplying or dividing this BigDecimal's unscaled value by the appropriate power of ten to maintain its overall value."	VERB - NOUN	"compute by multiplying or dividing this BigDecimal's unscaled value by the appropriate to get a BigDecimal whose scale is the specified value, and whose unscaled value is determined power of ten to maintain its overall value."	0	return	compute	5	0	compute	convert	"compute by multiplying or dividing this BigDecimal's unscaled value by the appropriate to get a BigDecimal whose scale is the specified value, and whose unscaled value is determined power of ten to maintain its overall value."	"converts a BigDecimal whose scale is the specified value, and whose unscaled value is determined by multiplying or dividing this BigDecimal's unscaled value by the appropriate power of ten to maintain its overall value."
93	java.math.BigDecimal.setScale(int)	"Returns a BigDecimal whose scale is the specified value, and whose value is numerically equal to this BigDecimal's."	VERB - NOUN	"compute by multiplying or dividing this BigDecimal's unscaled value by the appropriate to get a BigDecimal whose scale is the specified value, and whose unscaled value is determined power of ten to maintain its overall value."	0	return	compute	5	0	compute	convert	"compute by multiplying or dividing this BigDecimal's unscaled value by the appropriate to get a BigDecimal whose scale is the specified value, and whose unscaled value is determined power of ten to maintain its overall value."	"converts a BigDecimal whose scale is the specified value, and whose value is numerically equal to this BigDecimal's."
94	java.lang.String.contains(java.lang.CharSequence)	Returns true if and only if this string contains the specified sequence of char values.	VERB	check true if and only if this string contains the specified sequence of char values.	0	return	check	3	0	check	check	check true if and only if this string contains the specified sequence of char values.	Checks if and only if this string contains the specified sequence of char values.
95	java.lang.Thread.holdsLock(java.lang.Object)	Returns true if and only if the current thread holds the monitor lock on the specified object.	VERB	check true if and only if the current thread holds the monitor lock on the specified object.	0	return	check	3	0	check	check	check true if and only if the current thread holds the monitor lock on the specified object.	Checks if and only if the current thread holds the monitor lock on the specified object.
96	java.util.Calendar.getInstance()	Gets a calendar using the default time zone and locale.	VERB - NOUN	Gets a calendar using the default time zone and locale.	0	get	get	9	0	get	get	Gets a calendar using the default time zone and locale.	Gets a calendar using the default time zone and locale.
96	java.util.Calendar.getInstance(java.util.Locale)	Gets a calendar using the default time zone and specified locale.	VERB - NOUN	Gets a calendar using the default time zone and specified locale.	0	get	get	9	0	get	get	Gets a calendar using the default time zone and specified locale.	Gets a calendar using the default time zone and specified locale.
96	java.util.Calendar.getInstance(java.util.TimeZone)	Gets a calendar using the specified time zone and default locale.	VERB - NOUN	Gets a calendar using the specified time zone and default locale.	0	get	get	9	0	get	get	Gets a calendar using the specified time zone and default locale.	Gets a calendar using the specified time zone and default locale.
96	"java.util.Calendar.getInstance(java.util.TimeZone,java.util.Locale)"	Gets a calendar with the specified time zone and locale.	VERB - NOUN - with - NOUN	Gets a calendar with the specified time zone and locale.	0	get	get	9	0	get	get	Gets a calendar with the specified time zone and locale.	Gets a calendar with the specified time zone and locale.
97	java.util.regex.Pattern.quote(java.lang.String)	Returns a literal pattern String for the specified String.	VERB - NOUN - for - NOUN	convert a literal pattern String to the specified String.	0	return	convert	9	0	get	convert	get  a literal pattern String for the specified String.	convert a literal pattern String to the specified String.
98	java.util.Collections.reverseOrder()	Returns a comparator that imposes the reverse of the natural ordering on a collection of objects that implement the Comparable interface.	VERB - NOUN	create a comparator that imposes the reverse of the natural ordering on a collection of objects that implement the Comparable interface.	0	return	create	6	0	permute	permute	permute reverse option of the natural ordering on a collection of objects that implement the Comparable interface.	permutes a comparator that imposes the reverse of the natural ordering on a collection of objects that implement the Comparable interface.
98	java.util.Collections.reverseOrder(java.util.Comparator<T>)	Returns a comparator that imposes the reverse ordering of the specified comparator.	VERB - NOUN	create a comparator that imposes the reverse ordering of the specified comparator.	0	return	create	6	0	permute	get	permute reverse option of the natural ordering on a collection of objects that implement the Comparable interface.	gets a comparator that imposes the reverse ordering of the specified comparator.
99	java.lang.Class.getSimpleName()	Returns the simple name of the underlying class as given in the source code.	VERB - NOUN	get the simple name of the underlying class as given in the source code.	0	return	get	9	0	get	get	get the simple name of the underlying class as given in the source code.	gets the simple name of the underlying class as given in the source code.
100	"java.util.Arrays.fill(boolean[],boolean)"	Assigns the specified boolean value to each element of the specified array of booleans.	VERB - NOUN - to - NOUN	set the specified boolean value to each element of the specified array of booleans.	0	assign	set	5	0	set	set	set the specified boolean value to each element of the specified array of booleans.	sets the specified boolean value to each element of the specified array of booleans.
100	"java.util.Arrays.fill(boolean[],int,int,boolean)"	Assigns the specified boolean value to each element of the specified range of the specified array of booleans.	VERB - NOUN - to - NOUN	set the specified boolean value to each element of the specified range of the specified array of booleans.	0	assign	set	5	0	set	set	set the specified boolean value to each element of the specified range of the specified array of booleans.	sets the specified boolean value to each element of the specified range of the specified array of booleans.
100	"java.util.Arrays.fill(byte[],byte)"	Assigns the specified byte value to each element of the specified array of bytes.	VERB - NOUN - to - NOUN	set the specified byte value to each element of the specified array of bytes.	0	assign	set	5	0	set	set	set the specified byte value to each element of the specified array of bytes.	sets the specified byte value to each element of the specified array of bytes.
100	"java.util.Arrays.fill(byte[],int,int,byte)"	Assigns the specified byte value to each element of the specified range of the specified array of bytes.	VERB - NOUN - to - NOUN	set the specified byte value to each element of the specified range of the specified array of bytes.	0	assign	set	5	0	set	set	Assigns the specified byte value to each element of the specified range of the specified array of bytes.	sets the specified byte value to each element of the specified range of the specified array of bytes.
100	"java.util.Arrays.fill(char[],char)"	Assigns the specified char value to each element of the specified array of chars.	VERB - NOUN - to - NOUN	set the specified char value to each element of the specified array of chars.	0	assign	set	5	0	set	set	set the specified char value to each element of the specified array of chars.	sets the specified char value to each element of the specified array of chars.
100	"java.util.Arrays.fill(char[],int,int,char)"	Assigns the specified char value to each element of the specified range of the specified array of chars.	VERB - NOUN - to - NOUN	set the specified char value to each element of the specified range of the specified array of chars.	0	assign	set	5	0	set	set	set the specified char value to each element of the specified range of the specified array of chars.	sets the specified char value to each element of the specified range of the specified array of chars.
100	"java.util.Arrays.fill(double[],double)"	Assigns the specified double value to each element of the specified array of doubles.	VERB - NOUN - to - NOUN	set the specified double value to each element of the specified array of doubles.	0	assign	set	5	0	set	set	set the specified double value to each element of the specified array of doubles.	sets the specified double value to each element of the specified array of doubles.
100	"java.util.Arrays.fill(double[],int,int,double)"	Assigns the specified double value to each element of the specified range of the specified array of doubles.	VERB - NOUN - to - NOUN	set the specified double value to each element of the specified range of the specified array of doubles.	0	assign	set	5	0	set	set	Assigns the specified double value to each element of the specified range of the specified array of doubles.	sets the specified double value to each element of the specified range of the specified array of doubles.
100	"java.util.Arrays.fill(float[],float)"	Assigns the specified float value to each element of the specified array of floats.	VERB - NOUN - to - NOUN	set the specified float value to each element of the specified array of floats.	0	assign	set	5	0	set	set	set the specified float value to each element of the specified array of floats.	sets the specified float value to each element of the specified array of floats.
100	"java.util.Arrays.fill(float[],int,int,float)"	Assigns the specified float value to each element of the specified range of the specified array of floats.	VERB - NOUN - to - NOUN	set the specified float value to each element of the specified range of the specified array of floats.	0	assign	set	5	0	set	set	set the specified float value to each element of the specified range of the specified array of floats.	sets the specified float value to each element of the specified range of the specified array of floats.
100	"java.util.Arrays.fill(int[],int)"	Assigns the specified int value to each element of the specified array of ints.	VERB - NOUN - to - NOUN	set the specified int value to each element of the specified array of ints.	0	assign	set	5	0	set	set	set the specified int value to each element of the specified array of ints.	sets the specified int value to each element of the specified array of ints.
100	"java.util.Arrays.fill(int[],int,int,int)"	Assigns the specified int value to each element of the specified range of the specified array of ints.	VERB - NOUN - to - NOUN	set the specified int value to each element of the specified range of the specified array of ints.	0	assign	set	5	0	set	set	set the specified int value to each element of the specified range of the specified array of ints.	sets the specified int value to each element of the specified range of the specified array of ints.
100	"java.util.Arrays.fill(long[],long)"	Assigns the specified long value to each element of the specified array of longs.	VERB - NOUN - to - NOUN	set the specified long value to each element of the specified array of longs.	0	assign	set	5	0	set	set	set the specified long value to each element of the specified array of longs.	sets the specified long value to each element of the specified array of longs.
100	"java.util.Arrays.fill(long[],int,int,long)"	Assigns the specified long value to each element of the specified range of the specified array of longs.	VERB - NOUN - to - NOUN	set the specified long value to each element of the specified range of the specified array of longs.	0	assign	set	5	0	set	set	set the specified long value to each element of the specified range of the specified array of longs.	sets the specified long value to each element of the specified range of the specified array of longs.
100	"java.util.Arrays.fill(java.lang.Object,java.lang.Object)"	Assigns the specified Object reference to each element of the specified array of Objects.	VERB - NOUN - to - NOUN	set the specified Object reference to each element of the specified array of Objects.	0	assign	set	5	0	set	set	set the specified Object reference to each element of the specified array of Objects.	sets the specified Object reference to each element of the specified array of Objects.
100	"java.util.Arrays.fill(java.lang.Object[],java.lang.Object)"	Assigns the specified Object reference to each element of the specified array of Objects.	VERB - NOUN - to - NOUN	set the specified Object reference to each element of the specified array of Objects.	0	assign	set	5	0	set	set	set the specified Object reference to each element of the specified array of Objects.	sets the specified Object reference to each element of the specified array of Objects.
100	"java.util.Arrays.fill(java.lang.Object,int,int,java.lang.Object)"	Assigns the specified Object reference to each element of the specified range of the specified array of Objects.	VERB - NOUN - to - NOUN	set the specified Object reference to each element of the specified range of the specified array of Objects.	0	assign	set	5	0	set	set	set the specified Object reference to each element of the specified range of the specified array of Objects.	sets the specified Object reference to each element of the specified range of the specified array of Objects.
100	"java.util.Arrays.fill(java.lang.Object[],int,int,java.lang.Object)"	Assigns the specified Object reference to each element of the specified range of the specified array of Objects.	VERB - NOUN - to - NOUN	set the specified Object reference to each element of the specified range of the specified array of Objects.	0	assign	set	5	0	set	set	set the specified Object reference to each element of the specified range of the specified array of Objects.	sets the specified Object reference to each element of the specified range of the specified array of Objects.
100	"java.util.Arrays.fill(short[],short)"	Assigns the specified short value to each element of the specified array of shorts.	VERB - NOUN - to - NOUN	set the specified short value to each element of the specified array of shorts.	0	assign	set	5	0	set	set	set the specified short value to each element of the specified array of shorts.	sets the specified short value to each element of the specified array of shorts.
100	"java.util.Arrays.fill(short[],int,int,short)"	Assigns the specified short value to each element of the specified range of the specified array of shorts.	VERB - NOUN - to - NOUN	set the specified short value to each element of the specified range of the specified array of shorts.	0	assign	set	5	0	set	set	set the specified short value to each element of the specified range of the specified array of shorts.	sets the specified short value to each element of the specified range of the specified array of shorts.
101	java.util.Scanner.next()	Finds and returns the next complete token from this scanner.	VERB - NOUN - from - NOUN	Finds and returns the next complete token from this scanner.	0	find;return	find	16;9	0	find;get	find;get	Finds and returns the next complete token from this scanner.	Finds and gets the next complete token from this scanner.
101	java.util.Scanner.next(java.lang.String)	Returns the next token if it matches the pattern constructed from the specified string.	VERB - NOUN	get the next token if it matches the pattern constructed from the specified string.	0	return	get	9	0	get	get	get the next token if it matches the pattern constructed from the specified string.	gets the next token if it matches the pattern constructed from the specified string.
101	java.util.Scanner.next(java.util.regex.Pattern)	Returns the next token if it matches the specified pattern.	VERB - NOUN	get the next token if it matches the specified pattern.	0	return	get	9	0	get	get	get the next token if it matches the specified pattern.	gets the next token if it matches the specified pattern.
